0.000000	1.000000	
1.000000	5.377891	
5.377891	9.673469	
9.673469	14.100363	
14.100363	18.449524	
18.449524	22.881406	
22.881406	27.145646	
27.145646	31.545782	
31.545782	35.945578	
35.945578	40.307438	
40.307438	44.641859	
44.641859	48.993333	
48.993333	53.353379	
53.353379	57.730091	
57.730091	62.105941	
62.105941	66.466032	
66.466032	70.833855	
70.833855	75.185510	
75.185510	79.529615	
79.529615	83.874036	
83.874036	88.289955	
88.289955	92.601905	
92.601905	97.001542	
97.001542	101.338005	
101.338005	105.746576	
105.746576	110.091179	
110.091179	114.499229	
114.499229	118.843356	
118.843356	123.154966	
123.154966	127.523288	
127.523288	131.915510	
131.915510	136.299093	
136.299093	140.651565	
140.651565	144.965147	
144.965147	149.331542	
149.331542	153.755306	
153.755306	158.107574	
158.107574	162.442993	
162.442993	166.813447	
166.813447	171.174036	
171.174036	175.491610	
175.491610	179.955034	
179.955034	184.275329	
184.275329	188.634921	
188.634921	193.011224	
193.011224	197.339161	
197.339161	201.755193	
201.755193	206.107596	
206.107596	210.467574	
210.467574	222.479977	
